Nom,Bonnes pratiques,Cardinalité,Description,Domaine,Inverse,Portée,English name,Alternative labels (EN),Description (EN)
a comme logo,"Plateforme technologique, Acknowledgement",,,,est le logo de,Logo (https://www.notion.so/Logo-3103fe2b3f218194bd15e20043b13f99?pvs=21),has logo,,
a comme conditions d'accès,Ressource,,,Ressource (https://www.notion.so/Ressource-3183fe2b3f218005a9f8dedf9a889641?pvs=21),,Conditions d'accès (https://www.notion.so/Conditions-d-acc-s-3103fe2b3f2181019e06fa2fbf6990d9?pvs=21),has access conditions,,
a comme responsable ,"Plateforme technologique, Infrastructure",min 1,,,est responsable de,Responsable (https://www.notion.so/Responsable-3103fe2b3f2181e69fb3d05884bebb73?pvs=21),has person in charge,,
est rattaché à ,"Plateforme technologique, Personne “est rattaché à” UR, URI",,,,,Organisation (https://www.notion.so/Organisation-3103fe2b3f2181b6b7f0c10f17882812?pvs=21),is attached to,,
couvre domaine,"Plateforme technologique, Ressource (Service, Infrastructure, Expertise)",,,,,Domaine scientifique (https://www.notion.so/Domaine-scientifique-3103fe2b3f2181758bfccc4cf2fabf15?pvs=21),covers domain,,
Faculté fait partie de CSRV,,,,Faculté (https://www.notion.so/Facult-3103fe2b3f2181e8beffd8f3ec419088?pvs=21),,CSRV (https://www.notion.so/CSRV-3103fe2b3f2181149510dd7747b155da?pvs=21),Faculty is part of CSRV,,
UR est dans Faculté,,,,UR (https://www.notion.so/UR-3103fe2b3f21813493d5f44945d58387?pvs=21),,Faculté (https://www.notion.so/Facult-3103fe2b3f2181e8beffd8f3ec419088?pvs=21),Research unit is in Faculty,,
URI est dans CSRV,,,,URI (https://www.notion.so/URI-3103fe2b3f2181f59155ebbd6f1aab62?pvs=21),,CSRV (https://www.notion.so/CSRV-3103fe2b3f2181149510dd7747b155da?pvs=21),Research support unit is in CSRV,,
a comme ressource,,min 1,,Plateforme technologique (https://www.notion.so/Plateforme-technologique-3103fe2b3f218191a73fec6dd248990c?pvs=21),,Ressource (https://www.notion.so/Ressource-3183fe2b3f218005a9f8dedf9a889641?pvs=21),has resource,,
se situe,"Plateforme technologique, Ressource, Personne, Equipe",,,,,Localisation (https://www.notion.so/Localisation-3103fe2b3f218116b214e4103d2678e7?pvs=21),is located in,,
a comme impact,"Plateforme technologique, Ressource",,,,,Impact (https://www.notion.so/Impact-3183fe2b3f2180d9b01fe03fdd3aeacd?pvs=21),has impact,,
est mutualisé avec,Equipement,,,Ressource (https://www.notion.so/Ressource-3183fe2b3f218005a9f8dedf9a889641?pvs=21),,Plateforme technologique (https://www.notion.so/Plateforme-technologique-3103fe2b3f218191a73fec6dd248990c?pvs=21),is shared with,,
a comme identité scientifique numérique,,,,Personne (https://www.notion.so/Personne-3103fe2b3f2181afa06cca9affe0430f?pvs=21),,Identité scientifique numérique (https://www.notion.so/Identit-scientifique-num-rique-3183fe2b3f2180af9eaac879bbb15deb?pvs=21),has digital scientific identity,,
a comme photo,"Personne, Ressource (Equipement)",,,,,Image (https://www.notion.so/Image-3103fe2b3f218192b88ee1fb77d4e65b?pvs=21),has photo,,
a comme cas d'usage,,min 1,,Plateforme technologique (https://www.notion.so/Plateforme-technologique-3103fe2b3f218191a73fec6dd248990c?pvs=21),,Cas d'usage (https://www.notion.so/Cas-d-usage-3183fe2b3f2180ee8231c45703d38091?pvs=21),has use case,,
est associé à une autre ressource,"Logiciel “est associé à une autre ressource” Equipement ou Service. Ressource (Equipement, Service) “est associé à une autre ressource” à infrastructure. Equipement “est associé à une autre ressource” Service.",,,Ressource (https://www.notion.so/Ressource-3183fe2b3f218005a9f8dedf9a889641?pvs=21),,Ressource (https://www.notion.so/Ressource-3183fe2b3f218005a9f8dedf9a889641?pvs=21),is associated with another resource,,
est sous la gourvenance de,,,,Plateforme technologique (https://www.notion.so/Plateforme-technologique-3103fe2b3f218191a73fec6dd248990c?pvs=21),,Gouvernance (https://www.notion.so/Gouvernance-3183fe2b3f21800fb22cd3c1134c140f?pvs=21),is governed by,,
Plateforme technologique est dans plateforme thématique,,,,Gouvernance (https://www.notion.so/Gouvernance-3183fe2b3f21800fb22cd3c1134c140f?pvs=21),,Plateforme thématique (https://www.notion.so/Plateforme-th-matique-3183fe2b3f2180a89fa0c624cd98fb96?pvs=21),Technology platform is in thematic platform,,
Plateforme thématique est dans CARE,,,,Plateforme thématique (https://www.notion.so/Plateforme-th-matique-3183fe2b3f2180a89fa0c624cd98fb96?pvs=21),,CARE (https://www.notion.so/CARE-3183fe2b3f2180ef835ac4488fb81dfc?pvs=21),Thematic platform is in CARE,,
a comme personne référente,"Ressource (Expertise, Service) ",,,,,Personne (https://www.notion.so/Personne-3103fe2b3f2181afa06cca9affe0430f?pvs=21),has contact person,,
a comme garantie de qualité,"Plateforme technologique, Ressource",,,,,Garantie de qualité (https://www.notion.so/Garantie-de-qualit-31a3fe2b3f21803c9e97c3bfea060387?pvs=21),has quality assurance,,
a comme coordonnées,"Plateforme technologique, Personne",min 1,,,,Coordonnées (https://www.notion.so/Coordonn-es-3213fe2b3f2180f6ab0fd3190a5773a1?pvs=21),has contact details,,
Labo est dans UR,,,,Laboratoire de recherche (https://www.notion.so/Laboratoire-de-recherche-3253fe2b3f21809290f4f0da9537d0d1?pvs=21),,UR (https://www.notion.so/UR-3103fe2b3f21813493d5f44945d58387?pvs=21),Laboratory is in research unit,,
a comme équipe,,,,Plateforme technologique (https://www.notion.so/Plateforme-technologique-3103fe2b3f218191a73fec6dd248990c?pvs=21),,Equipe (https://www.notion.so/Equipe-3183fe2b3f2180228871c4ec845933c1?pvs=21),has team,,
Labo est dans URI,,,,Laboratoire de recherche (https://www.notion.so/Laboratoire-de-recherche-3253fe2b3f21809290f4f0da9537d0d1?pvs=21),,URI (https://www.notion.so/URI-3103fe2b3f2181f59155ebbd6f1aab62?pvs=21),Laboratory is in research support unit,,
Faculté est dans CSRV,,,,Faculté (https://www.notion.so/Facult-3103fe2b3f2181e8beffd8f3ec419088?pvs=21),,CSRV (https://www.notion.so/CSRV-3103fe2b3f2181149510dd7747b155da?pvs=21),Faculty is in CSRV,,
est une plateforme institutionnelle,,,,Plateforme technologique (https://www.notion.so/Plateforme-technologique-3103fe2b3f218191a73fec6dd248990c?pvs=21),,Plateforme institutionnelle (https://www.notion.so/Plateforme-institutionnelle-31b3fe2b3f218040a51ff97570df4c5c?pvs=21),is an institutional platform,,
fait partie de l'équipe,,,,Personne (https://www.notion.so/Personne-3103fe2b3f2181afa06cca9affe0430f?pvs=21),,Equipe (https://www.notion.so/Equipe-3183fe2b3f2180228871c4ec845933c1?pvs=21),is part of the team,,
a comme acknowledgement,,,,,,Acknowledgement (https://www.notion.so/Acknowledgement-32c3fe2b3f2180378b31f936766a52a6?pvs=21),has acknowledgement,,
de URI,,,Indique que le sujet appartient à une URI.,,,URI,,from URI,Indicates that the subject belongs to a Research Support Unit (URI).
de CSRV,,,Indique que le sujet appartient à un CSRV.,,,CSRV,,from CSRV,Indicates that the subject belongs to a CSRV.
