Nom de la classe,Autres labels,Description,Hiérarchie (classe parent),Propriétés de données,Propriétés d'objet,English name,Alternative labels (EN),Description (EN)
UR,,Unité de recherche facultaire. Groupe structuré de chercheurs travaillant sur des thématiques scientifiques communes. ,Organisation,,UR est dans Faculté (https://www.notion.so/UR-est-dans-Facult-3103fe2b3f2181eabf55c3e8e1de2c60?pvs=21),Faculty Research Unit,,Faculty-based research unit. A structured group of researchers working on shared scientific themes.
Service,,"Prestation formalisée, structurée et proposée par une plateforme, mobilisant une ou plusieurs expertises et/ou équipements, en réponse à un besoin interne ou externe.
Une prestation est rémunérée ou a un accord différent.
Exemple : analyse, formation, conseil, support technique",Ressource,,,Service,,"A formalized, structured offering provided by a platform, mobilizing one or more areas of expertise and/or pieces of equipment to meet an internal or external need. A service is paid for or subject to a different agreement. Example: analysis, training, consulting, technical support."
Plateforme technologique,Plateau technologique,Infrastructure de recherche à la pointe de la technologie (suivant la définition du FNRS). Une infrastructure de recherche est une installation spécialisée qui fournit des ressources et des services à la communauté scientifique pour permettre de conduire des recherches à la pointe au niveau scientifique et technologique dans différents domaines. ,,Maquette promotionnelle (https://www.notion.so/Maquette-promotionnelle-31a3fe2b3f218038b079f30ed3fb4665?pvs=21),"a comme ressource (https://www.notion.so/a-comme-ressource-31a3fe2b3f2180b79880d70cd4b45c9e?pvs=21), a comme cas d'usage (https://www.notion.so/a-comme-cas-d-usage-31a3fe2b3f218044bb5bf75d88c937f2?pvs=21), est sous la gourvenance de (https://www.notion.so/est-sous-la-gourvenance-de-31a3fe2b3f2180f58f97e398ccd95c65?pvs=21), a comme équipe (https://www.notion.so/a-comme-quipe-3253fe2b3f218059a44fd7e18e843394?pvs=21), est une plateforme institutionnelle (https://www.notion.so/est-une-plateforme-institutionnelle-3253fe2b3f2180bf91b5d4c020bae2ea?pvs=21)",Technology Platform,Technology Hub,"A state-of-the-art research infrastructure (according to the FNRS definition). A research infrastructure is a specialized facility that provides resources and services to the scientific community, enabling cutting-edge research at the scientific and technological forefront across different fields."
Image,,"Support visuel numérique associé à une entité (équipement, plateforme ou personne) permettant son identification, son illustration ou sa documentation.",,"Copyright (https://www.notion.so/Copyright-32c3fe2b3f21802f9440c8b278768773?pvs=21), License (https://www.notion.so/License-32c3fe2b3f2180f1a66fe22ecec6f07c?pvs=21)",,Image,,"A digital visual asset associated with an entity (equipment, platform, or person) for identification, illustration, or documentation purposes."
Logo,,Elément graphique officiel représentant l'identité visuelle institutionnelle d'une organisation ou d'une plateforme.,Image,,,Logo,,An official graphic element representing the institutional visual identity of an organization or platform.
Responsable,,"Responsable d'une plateforme technologique. Personne officiellement désignée pour assurer la supervision scientifique, stratégique et/ou opérationnelle de la plateforme technologique.",Personne,,,Manager,,"The person responsible for a technology platform. An officially designated individual who ensures the scientific, strategic, and/or operational supervision of the technology platform."
CSRV,,"Conseil sectoriel de la recherche et de la valorisation.
Exemple : CSRV-SS, CSRV-ST, CSRV-SH",Organisation,,,Sectoral Council for Research and Valorization,,"Sectoral Council for Research and Valorization. Example: CSRV-SS, CSRV-ST, CSRV-SH."
Production scientifique,,"Résultat/output d'une activité de recherche comme un article, thèse, base de donnée, ou brevet.",Impact,"Lien ORBI (https://www.notion.so/Lien-ORBI-3103fe2b3f2181f59e6bf5dd9779a9f8?pvs=21), Type de publication (https://www.notion.so/Type-de-publication-3103fe2b3f21814888e8f51930c88db4?pvs=21), DOI (https://www.notion.so/DOI-32c3fe2b3f218067b454c12fdf5d091c?pvs=21)",,Scientific Output,,"The result or output of a research activity, such as an article, thesis, database, or patent."
Certification,,"Certification officielle délivrée par une autorité compétente attestant qu'un service, un équipement, un processus, une plateforme technologique respecte les exigences d'une norme.
Exemple : norme ISO, GMP (group manufacturing practices), cleanroom.",Garantie de qualité,,,Certification,,"An official certification issued by a competent authority attesting that a service, piece of equipment, process, or technology platform complies with the requirements of a standard. Example: ISO standard, GMP (good manufacturing practices), cleanroom."
Faculté,,"Composante d'une université organisée autour d'un domaine d'enseignement et de recherche.
Elle permet de situer institutionnellement une personne ou une ressource, par exemple.
Exemple : Faculté de Médecine, Faculté des Sciences",Organisation,,"Faculté fait partie de CSRV (https://www.notion.so/Facult-fait-partie-de-CSRV-3103fe2b3f21819ba1d6d86047a5df8b?pvs=21), Faculté est dans CSRV (https://www.notion.so/Facult-est-dans-CSRV-3253fe2b3f21806d9812d3aae2bfaa34?pvs=21)",Faculty,,"A component of a university organized around a field of teaching and research. It helps situate a person or resource institutionally, for example. Example: Faculty of Medicine, Faculty of Science."
Conditions d'accès,,"Ensemble des modalités pratiques et réglementaires permettant à un utilisateur d'accéder à une plateforme, un équipement, ou un service. Par exemple, public cible / accessibilité ( interne, externe, cliniciens, PME), mode d'utilisation (autonome ou accompagné), prérequis utilisateur, réservation. ",,Lien de réservation (https://www.notion.so/Lien-de-r-servation-31a3fe2b3f21805daca8fffce52c2016?pvs=21),,Access Conditions,,"The set of practical and regulatory conditions that allow a user to access a platform, piece of equipment, or service. This may include, for example, target audience/accessibility (internal, external, clinicians, SMEs), mode of use (autonomous or assisted), user prerequisites, and booking."
Localisation,,"Informations permettant de situer précisément une personne, une ressource ou tout autre élément dans un espace donné.
Elle peut inclure, par exemple, une adresse, un campus, un bâtiment, un étage ou un local.

",,"Adresse (https://www.notion.so/Adresse-31a3fe2b3f2180ffaa82e56b8feaf0ad?pvs=21), Etage (https://www.notion.so/Etage-31a3fe2b3f2180e487bad6c34d15fb5a?pvs=21), Local (https://www.notion.so/Local-31a3fe2b3f21806da47de5170d54e6ba?pvs=21)",,Location,,"Information that makes it possible to locate precisely a person, a resource, or any other element in a given space. It may include, for example, an address, campus, building, floor, or room."
Personne,,"Individu physique impliqué dans une plateforme ou des ressources.
Elle peut être identifiée et contactée via des informations telles que son nom, ses coordonnées et sa fonction. Elle est rattachée à une unité de recherche, une faculté.

",,"Fonction (https://www.notion.so/Fonction-3103fe2b3f2181cab857f8e54b57edba?pvs=21), Prénom (https://www.notion.so/Pr-nom-31a3fe2b3f218041989afd6b96d9bdff?pvs=21)","a comme identité scientifique numérique (https://www.notion.so/a-comme-identit-scientifique-num-rique-31a3fe2b3f2180dca67de48bd304a049?pvs=21), fait partie de l'équipe (https://www.notion.so/fait-partie-de-l-quipe-32c3fe2b3f2180319259fbcd5eba1003?pvs=21)",Person,,"A natural person involved in a platform or its resources. The person can be identified and contacted through information such as name, contact details, and role. The person is affiliated with a research unit or faculty."
Organisation,,"Entité institutionnelle, structurée et reconnue par l'université.
Exemple : faculté, unité de recherche, CSRV ",,,,Organization,,"An institutional entity that is structured and recognized by the university. Example: faculty, research unit, CSRV."
Equipement,,"Ressource matérielle identifiée, localisée et mobilisable par une plateforme technologique pour soutenir ses expertises et délivrer ses services.",Ressource,"Modèle de l'équipement (https://www.notion.so/Mod-le-de-l-quipement-31a3fe2b3f218098b876c441233bdfc0?pvs=21), Marque de l'équipement (https://www.notion.so/Marque-de-l-quipement-31a3fe2b3f2180e5a9cacbfd2a8921a0?pvs=21)",,Equipment,,"An identified, located, and usable material resource mobilized by a technology platform to support its expertise and deliver its services."
URI,,Unité de recherche interfacultaire.,Organisation,,URI est dans CSRV (https://www.notion.so/URI-est-dans-CSRV-3103fe2b3f2181fba7b8d1fd3815aa93?pvs=21),Interfaculty Research Unit,,Interfaculty research unit.
Domaine scientifique,,"Champ large de compétence, structuré d'une plateforme, d'une ressource, d'une personne. ",,,,Scientific Field,,"A broad field of expertise structuring a platform, a resource, or a person."
Expertise,,"Domaine de compétence scientifique ou technologique maîtrisé par une plateforme ou une équipe, reposant sur des connaissances, méthodes et savoir-faire démontrés, et mobilisable dans des projets de recherche ou des collaborations externes.",Ressource,,,Expertise,,"A field of scientific or technological competence mastered by a platform or team, based on demonstrated knowledge, methods, and know-how, and that can be mobilized in research projects or external collaborations."
Plateforme thématique,,Une plateforme thématique regroupe différentes plateformes technologiques / plateaux. ,,,Plateforme thématique est dans CARE (https://www.notion.so/Plateforme-th-matique-est-dans-CARE-31a3fe2b3f218052b563f9cd1fe93c67?pvs=21),Thematic Platform,,A thematic platform groups together different technology platforms / facilities.
CARE,,"Cellule d'Appui à la Recherche et à l'Enseignement. Une CARE contient des plateformes thématiques, contenant elles-mêmes des plateformes technologiques ou plateaux.",,,,Research and Teaching Support Unit,,"Research and Teaching Support Unit. A CARE contains thematic platforms, which themselves contain technology platforms or facilities."
