Nom de la classe,Hiérarchie (classe parent),Autres labels,Description,Propriétés de données,Propriétés d’objet
CARE,,,"Cellule d’Appui à la Recherche et à l’Enseignement. Une CARE contient des plateformes thématiques, contenant elles-mêmes des plateformes technologiques ou plateaux.",,
Cas d’usage,,,"Application concrète et contextualisée des ressources d’une plateforme dans un objectif scientifique, clinique, technologique ou industriel déterminé.",,
Conditions d’accès,,,"Ensemble des modalités pratiques et réglementaires permettant à un utilisateur d’accéder à une plateforme, un équipement, ou un service. Par exemple, public cible / accessibilité ( interne, externe, cliniciens, PME), mode d’utilisation (autonome ou accompagné), prérequis utilisateur, réservation. ",Lien de réservation (https://www.notion.so/Lien-de-r-servation-31a3fe2b3f21805daca8fffce52c2016?pvs=21),
Bénéficiaire,Conditions d’accès,,"Public cible d’une ressource. Indique qui peut bénéficier des ressources d’une plateforme.
Exemple : chercheurs ULiège, Autres universités, entreprises, centres de recherche",Type de bénéficiaire (https://www.notion.so/Type-de-b-n-ficiaire-3253fe2b3f21804d96c4cf06ebba38a9?pvs=21),
Coordonnées,,,"Informations permettant de contacter une personne, une plateforme, une organisation. Elles comprennent généralement l’adresse e-mail, le numéro de téléphone, l’adresse postale ou tout autre moyen de communication.",,
Domaine scientifique,,,"Champ large de compétence, structuré d’une plateforme, d’une ressource, d’une personne. ",,
Equipe,,Team,"Ensemble des personnes contribuant de manière structurée au fonctionnement scientifique, technique ou opérationnel d’une plateforme technologique.",,
Garantie de qualité,,,"Ensemble des preuves qu’une plateforme ou une ressource répond à des standards reconnus de qualité, de sécurité et de conformité.
Elle s’appuie notamment sur des accréditations, certifications et normes applicables.",Portée de la garantie de qualité (https://www.notion.so/Port-e-de-la-garantie-de-qualit-31a3fe2b3f21806982f6e6bc3bc9e165?pvs=21),
Accréditation,Garantie de qualité,,"Accréditation attestant la compétence technique et la capacité à réaliser des essais, analyses ou certifications. C'est une reconnaissance de la compétence.",,
Certification,Garantie de qualité,,"Certification officielle délivrée par une autorité compétente attestant qu’un service, un équipement, un processus, une plateforme technologique respecte les exigences d’une norme.
Exemple : norme ISO, GMP (group manufacturing practices), cleanroom.",,
Conformité,Garantie de qualité,,"Respect des lois, règlements et exigences légales applicables aux activités scientifiques, aux infrastructures et aux équipements dans un cadre institutionnel, national ou international.
Elle garantit que les activités menées respectent les obligations légales et les cadres réglementaires en vigueur.
Exemples :
réglementation sur l’expérimentation animale
autorisations biosécurité, réglementation sur les substances chimiques",,
Norme de sécurité,Garantie de qualité,,"Ensemble de règles, standards et procédures techniques visant à garantir la protection des personnes, des équipements, de l’environnement et des données lors de l’utilisation d’une infrastructure ou de la réalisation d’activités scientifiques.
Ces normes définissent les conditions de manipulation, d’accès, d’exploitation et de maintenance des installations.
Exemples : niveaux de biosécurité (BSL1, BSL2, BSL3), règles de confinement biologique, normes de sécurité laser, protocoles de manipulation chimique",,
Gouvernance,,,"Ensemble des informations relatives à la gouvernance qui structure, coordonne et oriente les plateformes au sein des clusters thématiques ou institutionnels.
Exemple : CARE, plateforme thématique, plateau technologique",,Plateforme technologique est dans plateforme thématique (https://www.notion.so/Plateforme-technologique-est-dans-plateforme-th-matique-31a3fe2b3f21801daee5fc5f68b515b9?pvs=21)
Identité scientifique numérique,,,"Ensemble des identifiants persistants et profils en ligne permettant d’identifier de manière univoque un chercheur ou un membre d’une plateforme dans les écosystèmes académiques, scientifiques et professionnels numériques.
Exemple : profil ORBI, identifiant ORCID, profil LinkedIn, Google Scholar","Profil ORBI (https://www.notion.so/Profil-ORBI-31a3fe2b3f2180ac9305e74c84a12a64?pvs=21), ORCID (https://www.notion.so/ORCID-31a3fe2b3f218048906df82d80e30619?pvs=21), Google Scholar (https://www.notion.so/Google-Scholar-31a3fe2b3f21809ca96ef5372a8227fa?pvs=21)",
Image,,,"Support visuel numérique associé à une entité (équipement, plateforme ou personne) permettant son identification, son illustration ou sa documentation.","Copyright (https://www.notion.so/Copyright-32c3fe2b3f21802f9440c8b278768773?pvs=21), License (https://www.notion.so/License-32c3fe2b3f2180f1a66fe22ecec6f07c?pvs=21)",
Photo,Image,,"Image permettant de représenter visuellement une personne, une ressource (par exemple un équipement), un lieu ou tout autre élément pertinent.
Elle sert à illustrer, identifier ou documenter cet élément.

",,
Logo,Image,,Elément graphique officiel représentant l’identité visuelle institutionnelle d’une organisation ou d’une plateforme.,,
Impact,,,"L’impact désigne la capacité d’une plateforme à exercer une influence, une visibilité et une reconnaissance au-delà de son périmètre immédiat, à l’échelle institutionnelle, nationale ou internationale.
Exemple : production scientifique, retour d’expérience (témoignage), article de presse",,
Article de presse,Impact,,"Article, vidéos apparus dans la presse qui parle de la plateforme.",,
Production scientifique,Impact,,"Résultat/output d’une activité de recherche comme un article, thèse, base de donnée, ou brevet.","Lien ORBI (https://www.notion.so/Lien-ORBI-3103fe2b3f2181f59e6bf5dd9779a9f8?pvs=21), Type de publication (https://www.notion.so/Type-de-publication-3103fe2b3f21814888e8f51930c88db4?pvs=21), DOI (https://www.notion.so/DOI-32c3fe2b3f218067b454c12fdf5d091c?pvs=21)",
Retour d’expérience,Impact,,"Information fournie par un utilisateur ou un bénéficiaire décrivant son vécu, son avis ou son appréciation concernant une ressource ou une plateforme.
Il permet d’apporter un éclairage concret sur son utilisation, sa qualité, son efficacité ou sa pertinence.

","Témoignage (https://www.notion.so/T-moignage-3253fe2b3f2180039221da129723d0f8?pvs=21), Témoignant (https://www.notion.so/T-moignant-3253fe2b3f2180a0bf91fd84497b1a27?pvs=21)",
Laboratoire de recherche,,,"Equipe ou une structure académique consacrée à des activités de recherche dans un domaine spécifique. Un laboratoire de recherche est rattaché à une unité de recherche facultaire ou interfacultaire. ",,"Labo est dans UR (https://www.notion.so/Labo-est-dans-UR-3253fe2b3f2180f0a4e5f01a9b2a57e0?pvs=21), Labo est dans URI (https://www.notion.so/Labo-est-dans-URI-3253fe2b3f21800a8e65fc0baeaa6744?pvs=21)"
