Nom,Bonnes pratiques,Cardinalité,Description,Domaine,Portée,Restriction
Site web,"Plateforme technologique, Organisation, Article de presse, Campus, Personne",,"Lien du site web ",,URL,
Fonction,,,"Fonction d’une personne: responsable, utilisateur, fournisseur de service, …",Personne (https://www.notion.so/Personne-3103fe2b3f2181afa06cca9affe0430f?pvs=21),String,
Type de publication,,,"Article, dataset, these, brevet, autres",Production scientifique (https://www.notion.so/Production-scientifique-3103fe2b3f2181169b79eded2d24297f?pvs=21),String,
Description,"Plateforme technologique, ressource, image, Domaine scientifique, Cas d’usage, Bénéficiaire",exactly 1,"Texte structuré et orienté communication qui synthétise son positionnement, ses expertises, ses ressources et sa valeur ajoutée, dans une optique de visibilité interne et externe.",,String,
Lien ORBI,,,Lien orbi d’une production scientifique,Production scientifique (https://www.notion.so/Production-scientifique-3103fe2b3f2181169b79eded2d24297f?pvs=21),URL,
Catégorie,"Logiciel, Infrastructure, Equipement",,"Niveau générique de classification d’une ressource, permettant de la regrouper avec d’autres ressources partageant une même fonction ou une même famille technologique.
Exemple pour Logiciel : analyse de données, acquisition de données, traitement du signal, algorithme, etc.
Exemple pour Equipement : Microspcope, téléscope, Spectromètre de masse, etc.
Exemple pour Infrastructure : salle blanche (clean room), laboratoire de culture cellulaire, serre expérimentale, chambre climatique, animalerie, installation de confinement biologique, etc.",,String,
Acronyme,"Plateforme technologique, organisation, CARE",,,,String,
Nom,"Plateforme technologique, ressource, organisation, CARE; Personne, Cas d’usage, Domaine scientifique, Garantie de qualité; Impact",,,,String,
Prénom,,,,Personne (https://www.notion.so/Personne-3103fe2b3f2181afa06cca9affe0430f?pvs=21),String,
Téléphone,"Personne, Coordonnées",,,,String,
Email,"Personne, Coordonnées",,,,String,
Profil ORBI,,,,Identité scientifique numérique (https://www.notion.so/Identit-scientifique-num-rique-3183fe2b3f2180af9eaac879bbb15deb?pvs=21),URL,
ORCID,,,,Identité scientifique numérique (https://www.notion.so/Identit-scientifique-num-rique-3183fe2b3f2180af9eaac879bbb15deb?pvs=21),URL,
Google Scholar,,,,Identité scientifique numérique (https://www.notion.so/Identit-scientifique-num-rique-3183fe2b3f2180af9eaac879bbb15deb?pvs=21),URL,
Adresse,,,,Localisation (https://www.notion.so/Localisation-3103fe2b3f218116b214e4103d2678e7?pvs=21),String,
Etage,,,,Localisation (https://www.notion.so/Localisation-3103fe2b3f218116b214e4103d2678e7?pvs=21),String,
Local,,,,Localisation (https://www.notion.so/Localisation-3103fe2b3f218116b214e4103d2678e7?pvs=21),String,
Maquette promotionnelle,,,,Plateforme technologique (https://www.notion.so/Plateforme-technologique-3103fe2b3f218191a73fec6dd248990c?pvs=21),PDF,
Modèle de l’équipement,,,,Equipement (https://www.notion.so/Equipement-3103fe2b3f2181c7806bdc89dfd262cd?pvs=21),String,
Marque de l’équipement,,,,Equipement (https://www.notion.so/Equipement-3103fe2b3f2181c7806bdc89dfd262cd?pvs=21),String,
Lien de réservation,,,,Conditions d’accès (https://www.notion.so/Conditions-d-acc-s-3103fe2b3f2181019e06fa2fbf6990d9?pvs=21),URL,
Version du logiciel,,,,Logiciel (https://www.notion.so/Logiciel-3183fe2b3f2180aaaf0ac896b8d023f7?pvs=21),String,
Type,Infrastructure,,"Niveau plus précis de classification d’une ressource, permettant d’identifier sa technologie, son mode de fonctionnement ou sa spécialisation d’usage.",,String,
Caractéristique de l’infrastructure,,,"Conditions environnementales contrôlées, température, humidité, pression, atmosphère contrôlée, normes techniques, systèmes de sécurité",Infrastructure (https://www.notion.so/Infrastructure-31a3fe2b3f2180119b5dd1157fa7be98?pvs=21),String,
Portée de la garantie de qualité,,,"Périmètre des activités, services, installations ou processus couverts par une certification.",Garantie de qualité (https://www.notion.so/Garantie-de-qualit-31a3fe2b3f21803c9e97c3bfea060387?pvs=21),String,
Date,Image,,,,DateTime,
Type de bénéficiaire,,,,Bénéficiaire (https://www.notion.so/B-n-ficiaire-31a3fe2b3f2180bf9936e64827ff5dd0?pvs=21),String,
Témoignant,,,,Retour d’expérience (https://www.notion.so/Retour-d-exp-rience-3183fe2b3f21801287ecee5f4b0b168f?pvs=21),String,
Témoignage,,,,Retour d’expérience (https://www.notion.so/Retour-d-exp-rience-3183fe2b3f21801287ecee5f4b0b168f?pvs=21),String,
DOI,,,,Production scientifique (https://www.notion.so/Production-scientifique-3103fe2b3f2181169b79eded2d24297f?pvs=21),URI,
Copyright,,,,Image (https://www.notion.so/Image-3103fe2b3f218192b88ee1fb77d4e65b?pvs=21),String,
License,,,,Image (https://www.notion.so/Image-3103fe2b3f218192b88ee1fb77d4e65b?pvs=21),String,
Source du financement,,,,Acknowledgement (https://www.notion.so/Acknowledgement-32c3fe2b3f2180378b31f936766a52a6?pvs=21),String,
Texte pour publication,,,,Acknowledgement (https://www.notion.so/Acknowledgement-32c3fe2b3f2180378b31f936766a52a6?pvs=21),String,
ROR,,,"Research Organisation Registery
Exemple : L’XXX peut avoir un ROR",,URI,
